,model_id,model_name,make_id
0,97,ILX,1
1,98,NSX,1
2,99,RDX,1
3,100,TLX,1
4,101,GIULIA,24
5,102,STELVIO,24
6,395,DB11,44
7,396,DBS SUPERLEGGERA,44
8,397,DBX,44
9,398,VANTAGE,44
10,104,A4,2
11,105,A4 ALLROAD,2
12,3,A5,2
13,106,A6,2
14,107,A6 ALLROAD,2
15,108,A7,2
16,109,A8,2
17,4,E-TRON,2
18,111,E-TRON SPORTBACK,2
19,6,Q3,2
20,7,Q5,2
21,115,Q5 SPORTBACK,2
22,116,Q7,2
23,8,Q8,2
24,117,R8,2
25,119,RS 5,2
26,120,RS 6,2
27,121,RS 7,2
28,123,RS Q8,2
29,125,S4,2
30,126,S5,2
31,127,S6,2
32,128,S7,2
33,129,S8,2
34,130,SQ5,2
35,131,SQ5 SPORTBACK,2
36,132,SQ7,2
37,133,SQ8,2
38,134,TT,2
39,135,TT RS,2
40,136,TTS,2
41,137,BENTAYGA,25
42,138,CONTINENTAL,25
43,139,FLYING SPUR,25
44,140,2 SERIES,3
45,141,2 SERIES GRAN COUPE,3
46,9,3 SERIES,3
47,10,4 SERIES,3
48,142,5 SERIES,3
49,143,7 SERIES,3
50,12,8 SERIES,3
51,13,8 SERIES GRAN COUPE,3
52,144,ALPINA B7,3
53,145,ALPINA XB7,3
54,399,I3,3
55,147,X1,3
56,16,X2,3
57,148,X3,3
58,149,X4,3
59,150,X5,3
60,151,X6,3
61,152,X7,3
62,153,Z4,3
63,17,ENCLAVE,4
64,154,ENCORE,4
65,18,ENCORE GX,4
66,19,ENVISION,4
67,20,CT4,5
68,21,CT5,5
69,22,ESCALADE,5
70,23,ESCALADE ESV,5
71,25,XT4,5
72,26,XT5,5
73,27,XT6,5
74,157,BLAZER,6
75,29,BOLT EV,6
76,158,CAMARO,6
77,159,COLORADO,6
78,30,CORVETTE,6
79,160,EQUINOX,6
80,161,EXPRESS,6
81,162,EXPRESS CARGO,6
82,163,MALIBU,6
83,165,SILVERADO 1500,6
84,166,SILVERADO 2500HD,6
